date,registration_base_eth,registration_premium_eth,registration_combined_legacy_eth,renewal_eth,total_revenue_eth,total_revenue_usd
2021-06-10,0.000000000000000000,0.000000000000000000,19.924739257682374782,1.213834406815884378,21.138573664498259160,52420.07
2021-06-11,0.000000000000000000,0.000000000000000000,18.755821837484732161,1.029052811047061131,19.784874648531793292,46556.86
2021-06-12,0.000000000000000000,0.000000000000000000,20.798069798803316564,1.930033493247967758,22.728103292051284322,54017.88
2021-06-13,0.000000000000000000,0.000000000000000000,21.067643302767735047,1.724495145664896187,22.792138448432631234,57092.48
2021-06-14,0.000000000000000000,0.000000000000000000,15.628307099821699339,1.727943048557523371,17.356250148379222710,44772.69
2021-06-15,0.000000000000000000,0.000000000000000000,20.217120771388761222,1.209879927670118215,21.427000699058879437,54635.50
2021-06-16,0.000000000000000000,0.000000000000000000,18.004926173072487327,1.627523632191420246,19.632449805263907573,46367.06
2021-06-17,0.000000000000000000,0.000000000000000000,16.238857510912794860,0.905024783137086801,17.143882294049881661,40718.43
2021-06-18,0.000000000000000000,0.000000000000000000,12.108205568416413365,0.518730397237042875,12.626935965653456240,28144.53
2021-06-19,0.000000000000000000,0.000000000000000000,10.264854360838968395,1.152344567714770060,11.417198928553738455,24871.17
2021-06-20,0.000000000000000000,0.000000000000000000,10.789264062465612376,0.825614539893203295,11.614878602358815671,26045.35
2021-06-21,0.000000000000000000,0.000000000000000000,5.422038146172076712,0.790027145870556107,6.212065292042632819,11749.63
2021-06-22,0.000000000000000000,0.000000000000000000,7.598008178721241005,0.187882927137185875,7.785891105858426880,14522.71
2021-06-23,0.000000000000000000,0.000000000000000000,9.016889442337127029,0.362128484941701911,9.379017927278828940,18476.01
2021-06-24,0.000000000000000000,0.000000000000000000,8.396051151303080467,1.345761627924045815,9.741812779227126282,19341.81
2021-06-25,0.000000000000000000,0.000000000000000000,12.034268614487976202,2.655179605459380468,14.689448219947356670,26752.28
2021-06-26,0.000000000000000000,0.000000000000000000,13.949996679902550716,0.509343227775699705,14.459339907678250421,26372.61
2021-06-27,0.000000000000000000,0.000000000000000000,11.579500045017461159,0.604114078193563219,12.183614123211024378,24049.70
2021-06-28,0.000000000000000000,0.000000000000000000,17.751433184136406654,2.022372788026427990,19.773805972162834644,41139.73
2021-06-29,0.000000000000000000,0.000000000000000000,10.072414439086552028,0.394293737585378071,10.466708176671930099,22623.23
2021-06-30,0.000000000000000000,0.000000000000000000,13.175042773560320820,0.935876634618689770,14.110919408179010590,32104.44
2021-07-01,0.000000000000000000,0.000000000000000000,11.056456500811171452,1.091322646280430239,12.147779147091601691,25742.24
2021-07-02,0.000000000000000000,0.000000000000000000,9.445548580135720308,1.016291020703123807,10.461839600838844115,22510.11
2021-07-03,0.000000000000000000,0.000000000000000000,8.933346138008253482,1.551517885849255478,10.484864023857508960,23351.99
2021-07-04,0.000000000000000000,0.000000000000000000,14.890103087412959326,1.795784937886303343,16.685888025299262669,38754.31
2021-07-05,0.000000000000000000,0.000000000000000000,7.154502600288827650,1.278632686209088009,8.433135286497915659,18617.65
2021-07-06,0.000000000000000000,0.000000000000000000,6.470946458797559578,0.117059802420845278,6.588006261218404856,15272.97
2021-07-07,0.000000000000000000,0.000000000000000000,8.514223633161694551,0.824087362939412629,9.338310996101107180,21639.11
2021-07-08,0.000000000000000000,0.000000000000000000,9.008963660671867553,1.061436769093672380,10.070400429765539933,21350.76
2021-07-09,0.000000000000000000,0.000000000000000000,8.701353459157465353,0.884566012272481567,9.585919471429946920,20629.25
2021-07-10,0.000000000000000000,0.000000000000000000,8.338621484349862348,0.886266285567639447,9.224887769917501795,19480.52
2021-07-11,0.000000000000000000,0.000000000000000000,9.458958698999180842,1.505848989625410928,10.964807688624591770,23484.52
2021-07-12,0.000000000000000000,0.000000000000000000,9.762536257706471194,1.587956530209870297,11.350492787916341491,23118.24
2021-07-13,0.000000000000000000,0.000000000000000000,7.562217777832604896,0.390728667219493213,7.952946445052098109,15385.33
2021-07-14,0.000000000000000000,0.000000000000000000,14.828956777509514058,0.550501913107411668,15.379458690616925726,30625.16
