date,registration_count,registration_duration_seconds,renewal_count,renewal_duration_seconds
2020-04-08,37,1577847600,89,3155695200
2020-04-09,72,2997916272,186,6595402968
2020-04-10,46,2398334184,104,4386416328
2020-04-11,63,2429885304,65,2177429688
2020-04-12,71,3155695200,75,2934796536
2020-04-13,108,4417991424,200,6690073824
2020-04-14,128,6058945152,30,1609404552
2020-04-15,166,5711808960,45,2587670064
2020-04-16,68,3187256688,52,3376342440
2020-04-17,117,4841641339,228,12117869568
2020-04-18,98,10350686088,114,5083088472
2020-04-19,148,6753209112,263,9751098168
2020-04-20,104,4197075264,315,11108047104
2020-04-21,158,6153608232,159,5112226224
2020-04-22,118,4165518960,294,9498642552
2020-04-23,108,3849929136,579,20448904896
2020-04-24,84,5080688712,434,15715362096
2020-04-25,90,4197092760,223,8583490944
2020-04-26,70,2619228312,299,10319123304
2020-04-27,64,2240546184,222,8173250568
2020-04-28,83,3218809104,610,19754651952
2020-04-29,76,3124140192,731,29665254622
2020-04-30,80,4701998808,798,27791936712
2020-05-01,115,5175356328,1285,45093996630
2020-05-02,183,9088469568,1923,70667262966
2020-05-03,188,6796855584,3639,135999014580
2020-05-04,165,5869626768,969,34049951208
2020-05-05,199,7321283496,494,21237828696
2020-05-06,110,4228638696,243,10571578920
2020-05-07,75,2997913680,86,3408150816
2020-05-08,149,5333156640,198,8078579712
2020-05-09,79,2934806256,177,6500732112
2020-05-10,45,2650783968,33,1420062840
2020-05-11,43,1514733696,93,4386416328
2020-05-12,76,3155698440,225,10445351112
2020-05-13,67,2587670064,81,3313479960
2020-05-14,59,2461444848,35,1672519752
2020-05-15,78,3250366704,250,31525395048
2020-05-16,126,5088367944,125,5838036120
2020-05-17,53,2157971328,49,2378089800
2020-05-18,68,2876526216,46,2087597880
2020-05-19,55,2177429688,52,2177432280
2020-05-20,61,2777013720,54,1830305808
2020-05-21,82,2903241528,96,3092641560
2020-05-22,59,2461442904,143,7352771760
2020-05-23,91,4386441600,171,6847878672
2020-05-24,82,3240486864,326,11770791048
2020-05-25,118,4291747416,89,3976175952
2020-05-26,159,7100318088,184,7068780576
2020-05-27,75,3881505096,20,2366773344
2020-05-28,91,6500648304,50,1924979256
2020-05-29,91,3786792336,85,3471274440
2020-05-30,137,6185178144,30,1136058696
2020-05-31,73,2966365152,28,1988091216
2020-06-01,147,6627027960,172,7794587232
2020-06-02,41,1388505888,74,3976186968
2020-06-03,112,4134013848,106,3597497064
2020-06-04,61,3218809752,23,1136051568
2020-06-05,39,1640962152,16,1278071460
2020-06-06,70,3187254096,159,6185172960
2020-06-07,36,2713905000,41,2114319024
2020-06-08,115,4733586216,57,2603451780
2020-06-09,32,1388509776,97,5051704320
2020-06-10,57,2777025384,85,3502838520
2020-06-11,44,2524560048,219,8930620656
2020-06-12,48,2650791744,207,7226556264
2020-06-13,55,2682342864,105,5017565088
2020-06-14,32,1199164176,191,6753196800
2020-06-15,37,1546291296,69,3392373636
2020-06-16,37,1924974072,55,2492999856
2020-06-17,49,1735633656,107,3723726168
2020-06-18,126,4575806640,109,3818395728
2020-06-19,69,2524568472,116,4954466088
2020-06-20,103,4354904088,25,1451634048
2020-06-21,86,4133965248,91,3187256040
2020-06-22,57,2461459104,43,1924977312
2020-06-23,97,5554037160,53,1735633656
2020-06-24,70,3439748592,16,631055232
2020-06-25,20,631139688,61,2808581040
2020-06-26,204,7920864288,42,1735640784
2020-06-27,46,2335217040,86,3029469336
2020-06-28,73,3061024992,48,2713917312
2020-06-29,46,1861860168,69,2461456512
2020-06-30,75,2713916016,12,631148760
2020-07-01,82,3913063344,26,2051236872
2020-07-02,65,2650789152,28,974090138
2020-07-03,54,2493004392,74,2366773344
2020-07-04,78,3187261872,80,2682345456
2020-07-05,62,2650787856,284,9530219592
2020-07-06,75,3509133062,222,7289663040
2020-07-07,61,2650794984,267,10161392976
2020-07-08,33,1672518456,36,1356961248
2020-07-09,78,3250372536,139,5490914832
2020-07-10,62,2682343512,190,7857765288
2020-07-11,99,3439716840,316,10098289440
2020-07-12,74,3281929488,262,9469700280
2020-07-13,33,2082760128,164,9025349832
2020-07-14,74,3061028232,104,4670434728
2020-07-15,87,3045270492,89,4165539048
2020-07-16,103,6500745072,44,2177445888
2020-07-17,61,3061033416,16,1293848640
2020-07-18,370,14200829280,49,1830261960
2020-07-19,37,1420062840,43,1387935731
2020-07-20,68,2650785264,318,14263758504
2020-07-21,45,1893421008,351,12717420768
2020-07-22,80,4165521552,118,4638873240
2020-07-23,75,3439711008,556,19315468008
2020-07-24,87,3471278328,580,19344422592
2020-07-25,40,2461442256,198,8551941120
2020-07-26,67,2650783968,539,20038757832
2020-07-27,93,4133973024,449,17293217472
2020-07-28,105,4260193704,972,94323748320
2020-07-29,89,4110292998,1338,44840531664
2020-07-30,124,5648698944,1574,54624503736
2020-07-31,78,4704405696,1571,58380560784
2020-08-01,121,5398659288,3399,121336512840
2020-08-02,230,9056830104,219,9183141072
2020-08-03,131,5743366560,346,11612962224
2020-08-04,150,7510534920,176,7889238000
2020-08-05,137,7037210016,29,1556659944
2020-08-06,80,3755281824,17,1325391984
2020-08-07,84,4007734848,15,1072939608
2020-08-08,56,2335214448,1,189341712
2020-08-09,67,2840131512,4,757379808
2020-08-10,73,3534381216,9,820459800
2020-08-11,61,2524556160,7,220898664
2020-08-12,77,3408150816,6,504911232
2020-08-13,88,3597495768,5,599582088
2020-08-14,44,3250366056,239,7983912744
2020-08-15,66,3455529336,259,8520542928
2020-08-16,106,4638874536,42,2492999208
2020-08-17,64,4165520256,14,883574352
2020-08-18,56,2335214448,16,504911232
2020-08-19,53,2997919512,11,1420062840
2020-08-20,92,5743366560,35,3861532224
2020-08-21,51,2145872736,12,1041379416
2020-08-22,70,4354859376,24,1861860816
2020-08-23,98,5341421880,3,378689904
2020-08-24,91,5459367600,27,1514736936
2020-08-25,101,5932708272,61,2808359208
2020-08-26,163,11392083648,21,1483092936
2020-08-27,165,9653271616,33,1877330952
2020-08-28,224,14642428320,10,378683424
2020-08-29,1591,70119548640,29,2777011776
2020-08-30,1397,62009450208,83,5427815832
2020-08-31,471,23762396520,23,2461448736
2020-09-01,100,9119961720,16,1262278080
2020-09-02,96,8488824624,3,220898664
2020-09-03,67,4701986496,38,1325391984
2020-09-04,288,14326859448,11,2524569120
2020-09-05,161,8394149232,4,378683424
2020-09-06,281,14550913159,48,2903239584
2020-09-07,237,14200672464,113,4323305664
2020-09-08,261,10445387400,178,6090492384
2020-09-09,132,7826125392,99,3250369296
2020-09-10,126,5901151320,202,6626967696
2020-09-11,130,8615071224,220,8015465808
2020-09-12,196,10161356688,138,5333124888
2020-09-13,209,9688008888,41,1640961504
2020-09-14,129,5995837728,51,1956534912
2020-09-15,159,8141696208,116,4354859376
2020-09-16,123,5812798334,26,978265512
2020-09-17,48,2619227664,5,820481400
2020-09-18,126,7510561704,35,2019644928
2020-09-19,198,8962187328,176,7889241240
2020-09-20,258,12906801792,423,20859145920
2020-09-21,220,11556157118,131,7037206776
2020-09-22,198,12117883176,45,3155695200
2020-09-23,180,7646258541,159,11171162952
2020-09-24,167,10748317291,57,2997910440
2020-09-25,159,8993737152,127,4417973928
2020-09-26,272,12338812944,211,7699896288
2020-09-27,170,7668345816,152,5585580504
2020-09-28,289,16378064568,238,8362592280
2020-09-29,140,7147649628,192,8047024704
2020-09-30,171,7763018616,28,1293835680
2020-10-01,227,10827821370,84,4165517664
2020-10-02,233,11186974476,87,21711182976
2020-10-03,209,11108058768,329,23152420933
2020-10-04,201,10540023264,110,7699896288
2020-10-05,187,10729368864,134,8236364472
2020-10-06,286,14642439984,42,2429891784
2020-10-07,243,13064593032,291,12244097376
2020-10-08,214,10035117864,123,4007732904
2020-10-09,331,15052680360,75,4070846808
2020-10-10,217,10259168335,130,6721630776
2020-10-11,325,16535859696,143,8015465808
2020-10-12,183,10918902509,153,5490910296
2020-10-13,223,11044944864,73,2934797184
2020-10-14,272,16504298208,305,10792478232
2020-10-15,226,9940441824,155,5806479168
2020-10-16,185,9940452192,84,2777013072
2020-10-17,265,10603159848,63,2619227016
2020-10-18,188,9312459127,122,4165517664
2020-10-19,171,10792491192,64,2745464544
2020-10-20,141,6500732760,44,1830303216
2020-10-21,137,6658522056,98,4228632216
2020-10-22,266,16314946776,109,5080682232
2020-10-23,178,10319126544,8,915152256
2020-10-24,149,7857686232,107,4039289856
2020-10-25,146,8110139904,33,1451619792
2020-10-26,168,7478998920,31,1609404552
2020-10-27,185,8867511288,63,2997913032
2020-10-28,154,7794570384,39,1420062840
2020-10-29,249,9656429256,118,6658516872
2020-10-30,110,5774924160,26,1483176744
2020-10-31,122,5175340128,59,2019645576
2020-11-01,115,6658539552,73,3250366056
2020-11-02,123,6406074864,37,2366772048
2020-11-03,104,5301571176,22,5192453778
2020-11-04,155,5995830600,404,16851412368
2020-11-05,173,9312456535,188,10729363680
2020-11-06,121,5459353344,41,2461443552
2020-11-07,92,3534379272,89,3629049480
2020-11-08,122,7447467888,96,3849948144
2020-11-09,141,6374508840,297,10697806728
2020-11-10,171,8015466456,37,2335214448
2020-11-11,100,4765101696,37,2145875328
2020-11-12,86,4417977816,12,441797328
2020-11-13,128,5333124888,199,6753187728
2020-11-14,134,5743367208,39,2051202528
2020-11-15,121,5838063984,93,3439709064
2020-11-16,133,9498687912,158,5522467896
2020-11-17,95,4354860672,29,1642541943
2020-11-18,128,5554028088,43,2492999856
2020-11-19,167,7794581400,49,1672519752
2020-11-20,142,7478998272,20,3584921587
2020-11-21,159,6942533328,60,4417973280
2020-11-22,194,9498667824,128,4954443408
2020-11-23,157,7447453632,59,2461450032
2020-11-24,116,5995835784,30,1672520400
2020-11-25,213,10227618511,37,1988087976
2020-11-26,143,6279839280,16,1262278080
2020-11-27,238,10192899384,81,2948053695
2020-11-28,228,16220303784,24,2871682632
2020-11-29,268,10456397341,98,4828213656
2020-11-30,110,6532293600,45,2524556160
2020-12-01,143,7400115612,118,6753187728
2020-12-02,133,5459353344,25,1072937664
2020-12-03,283,11928531096,32,3155695200
2020-12-04,220,11549845728,48,2145874032
2020-12-05,219,8267921424,63,3565936224
2020-12-06,332,14137541064,85,3187254096
2020-12-07,215,10697819688,13,694257480
2020-12-08,102,6437628576,22,1672518456
2020-12-09,164,8425708128,75,2997910440
2020-12-10,188,13474820448,37,2240543592
2020-12-11,162,9277752312,13,788925096
2020-12-12,227,10950282432,64,3092583240
2020-12-13,186,9530203392,218,10382237856
2020-12-14,144,7636784328,30,2335227408
2020-12-15,129,7289661096,31,2208989232
2020-12-16,112,6566439960,263,8930617416
2020-12-17,86,7197520032,14,1041380064
2020-12-18,192,9183073032,155,9561756456
